,EBZ,EBPA(0.3),EBPA(0.35),EBPA(0.40),EBPA(0.45),EBPA(0.50)
30,"[0.5572952914875187, 0.5578451335828726, 0.3652078387556391, 0.5425807687236078, 0.5494862305604277]","[0.5998764058759151, 0.046526201651904686, 0.33650295212447356, 0.22025389226387337, 0.2628782540517781]","[0.30949427825214715, 0.2374685421106003, 0.10457730440987212, 2.0778902914964092e-06, 0.22626927265299246]","[0.4445198032393559, 0.3604829930991009, 0.32995160499642573, 0.3765482503156947, 0.381429606237935]","[0.47045325000850835, 0.4744128645380391, 0.3575386480604482, 0.4601599392126944, 0.4373959596651853]","[0.5381832487574156, 0.48863793569833514, 0.36347462115278195, 0.517582627781837, 0.5527744565762911]"
31,"[0.5320582331112643, 0.5410771251217475, 0.5280218594896458, 0.3599500541754844, 0.5921679758550401]","[0.09515803580471915, 0.3716580232693909, 0.14751560115764029, 0.31324484389330254, 0.5471956283258012]","[0.05480060636180839, 0.3427143962849809, 0.14791120060746388, 0.3158903571877486, 0.543133947388896]","[0.36974932411560646, 0.3890639285540276, 0.3363537036707528, 0.3337760634068774, 0.5706699045190666]","[0.3941329234945279, 0.4097373483306498, 0.46870326830118336, 0.3434548578218566, 0.5765956264545752]","[0.5102478421454032, 0.5246661663338109, 0.507684136847747, 0.355330304670992, 0.5856056900366726]"
32,"[0.520353425270554, 0.5865682424250792, 0.5495205603336617, 0.5700156169006815, 0.5748510250193244]","[0.24774339648945498, 0.37504274355403333, 0.2013906441702884, 0.25654528588280234, 0.2879591576666296]","[0.2989733856937197, 0.3887183644773192, 0.20910670705601286, 0.2723461484211217, 0.2738788216611502]","[0.5123307606115304, 0.3992657038592472, 0.08070844691945755, 0.34907804338354764, 0.27517571040284905]","[0.4447255839904457, 0.40251807923401295, 0.404547608567035, 0.4012915256623697, 0.3725466894721645]","[0.45353240457446564, 0.4082564603719657, 0.43943148607715643, 0.36586787240836693, 0.34984873090431323]"
33,"[0.4774559644214469, 0.5065827782187398, 0.5626460327384782, 0.2601614150440471, 0.5826901919508294]","[0.36312269673205066, 8.089311499537288e-07, 0.09986879794897219, 0.15600386447001469, 0.30197304818938087]","[0.4175599294853948, 0.00877475851986198, 0.29400027532275297, 0.2027455325617119, 0.2477033577864639]","[0.4752252557128387, 0.40888083281545917, 0.45799035624683004, 0.2534552810167633, 0.404697009938212]","[0.46471347417144293, 0.46295449535157374, 0.48933930320601227, 0.24713459768527601, 0.4827981257386521]","[0.4697861369090339, 0.48196483688082403, 0.504121034028302, 0.2564376731204864, 0.49866189630913205]"
34,"[0.5551985235609052, 0.4701783142952468, 0.5460057625840523, 0.5100333651639184, 0.5011309911834517]","[0.34116980238316064, 3.3693088319353137e-09, 0.47216082879878885, 0.44862138573439125, 0.2316571281565578]","[0.5450076744221756, 0.10910814440166938, 0.4952915888086049, 0.491015662350629, 0.11071491249190268]","[0.5084163919265424, 0.26037232516426323, 0.4983271781072617, 0.4908641905644924, 0.23950112730425044]","[0.5487942230727415, 0.33806577142499106, 0.5199528504758956, 0.5035618107746529, 0.34101768474768424]","[0.5648781879179418, 0.39123667660845485, 0.5460021322612544, 0.5187043549660689, 0.45927562449712733]"
35,"[0.5645524434349691, 0.22218511371615113, 0.551629297499642, 0.5541026119942787, 0.5773477792548375]","[0.2939236479936427, 0.17370054004436342, 0.35231550068335016, 0.2982272019975245, 0.31128386177819745]","[0.36449272974676405, 0.18366856035164925, 0.3956305305200074, 0.40727113761096156, 0.38984046881747103]","[0.3915505577358829, 0.1961580108361639, 0.4096906979896672, 0.4197169667253955, 0.4143728353031533]","[0.42252943847834945, 0.20963252960154577, 0.43040227459671043, 0.46343168869133655, 0.4507511948848587]","[0.4978239284961179, 0.21612463493344802, 0.49115936293299756, 0.4819995941018014, 0.5050399577461152]"
36,"[0.5322728290133486, 0.5442554428996723, 0.5605112199818794, 0.5591018928711631, 0.45564657402880115]","[0.1667468424425177, 0.0002272840135747467, 1.8147133046264585e-05, 0.20750327145612257, 0.46432112670139203]","[0.05057530374164265, 2.2718595837911693e-07, 0.42210691313258053, 0.009930137104357195, 5.2585220184919734e-06]","[0.16543230157086886, 0.19234746347633613, 3.8793996126607055e-08, 0.1374296053309212, 0.12900973289895323]","[0.11535345715065914, 0.15250061810125803, 0.3064142385327827, 0.05705182371630435, 4.406183692351462e-07]","[0.43873226151197664, 0.4717501392841794, 0.4649389767207588, 0.48370608089088263, 0.36820113049720926]"
37,"[0.5490927842028144, 0.5757133470285387, 0.5146272726003536, 0.5702041497525409, 0.5745044434359536]","[0.21866152300702324, 0.11923500522774266, 0.30266805281005826, 0.13575998113369303, 0.17235671964467647]","[0.28946376897503245, 0.3579264029632999, 0.4994966704209721, 0.20925146827240915, 0.1188028082170427]","[0.5365776345824221, 0.27575139085510403, 0.28906131137463953, 0.33266762771008196, 0.17814696951240439]","[0.24855682221805764, 0.43193097551956683, 0.2557237117447193, 0.2975586459701499, 0.16127286552981834]","[0.2638494786465533, 0.42509655847838135, 0.26128963594398136, 0.21431261430757786, 0.1552032361228538]"
38,"[0.5597309963657064, 0.58487751474613, 0.49002754896816314, 0.3732669180419915, 0.5831958064416852]","[0.22386521209019172, 0.3899225360080095, 0.3976327931115443, 0.3057746049828507, 3.004117561489217e-06]","[0.27211402156854214, 0.5188962305339803, 0.42354190885454246, 0.34886857437116126, 0.07531297357714639]","[0.3380399393589604, 0.5475633626062983, 0.43239567174563387, 0.3495134960667231, 0.3199491097774383]","[0.3561236816009796, 0.5506394374089603, 0.44422988587521073, 0.35976217327739834, 0.4102034367901243]","[0.5189823019535305, 0.581760482750374, 0.48806452210649165, 0.36965948686974315, 0.5068207770190507]"
39,"[0.5993954673089874, 0.5990476504790201, 0.3703280281328323, 0.590318333075692, 0.5973169172119541]","[0.11183621698725987, 0.48020839769394474, 9.9726994442495e-06, 0.34482983909801135, 0.5731025203250693]","[0.3035682357993832, 0.13994210004426955, 0.13645485630116594, 0.5935891669938241, 0.5869137442788979]","[0.20956686654754708, 0.5999972271279415, 0.0008287922306423612, 0.5978860796866736, 0.5925309334516332]","[0.24455526818802453, 0.5953093521220904, 0.25229451668948844, 0.5682559881274397, 0.5910078554507052]","[0.20131346700266495, 0.5999693499784496, 0.39030205777011096, 0.5981786467481557, 0.5994967957716794]"
